Date,DAY,MONTH,YEAR,Open,Close
19-02-2016,19,2,2016,16410.96094,16391.99023
18-02-2016,18,2,2016,16483.75977,16413.42969
17-02-2016,17,2,2016,16217.98047,16453.83008
16-02-2016,16,2,2016,16012.38965,16196.41016
12-02-2016,12,2,2016,15691.62012,15973.83984
11-02-2016,11,2,2016,15897.82031,15660.17969
10-02-2016,10,2,2016,16035.61035,15914.74023
09-02-2016,9,2,2016,16005.41016,16014.37988
08-02-2016,8,2,2016,16147.50977,16027.04981
05-02-2016,5,2,2016,16417.94922,16204.96973
04-02-2016,4,2,2016,16329.66992,16416.58008
03-02-2016,3,2,2016,16186.2002,16336.66016
02-02-2016,2,2,2016,16420.21094,16153.54004
01-02-2016,1,2,2016,16453.63086,16449.17969
29-01-2016,29,1,2016,16090.25977,16466.30078
28-01-2016,28,1,2016,15960.28027,16069.63965
27-01-2016,27,1,2016,16168.74023,15944.45996
26-01-2016,26,1,2016,15893.16016,16167.23047
25-01-2016,25,1,2016,16086.45996,15885.21973
22-01-2016,22,1,2016,15921.09961,16093.50977
21-01-2016,21,1,2016,15768.87012,15882.67969
20-01-2016,20,1,2016,15989.4502,15766.74023
19-01-2016,19,1,2016,16009.4502,16016.01953
15-01-2016,15,1,2016,16354.33008,15988.08008
14-01-2016,14,1,2016,16159.00977,16379.04981
13-01-2016,13,1,2016,16526.63086,16151.41016
12-01-2016,12,1,2016,16419.10938,16516.2207
11-01-2016,11,1,2016,16358.70996,16398.57031
08-01-2016,8,1,2016,16519.16992,16346.4502
07-01-2016,7,1,2016,16888.35938,16514.09961
06-01-2016,6,1,2016,17154.83008,16906.50977
05-01-2016,5,1,2016,17147.5,17158.66016
04-01-2016,4,1,2016,17405.48047,17148.93945
31-12-2015,31,12,2015,17590.66016,17425.0293
30-12-2015,30,12,2015,17711.93945,17603.86914
29-12-2015,29,12,2015,17547.36914,17720.98047
28-12-2015,28,12,2015,17535.66016,17528.26953
24-12-2015,24,12,2015,17593.25977,17552.16992
23-12-2015,23,12,2015,17427.63086,17602.60938
